id,Name,titleProject_id,class,score
11789355247,Сербин Геннадий Михаилович,7,8в,2
11780100297,Папандина Клавдия Яковлевна,304,9в,5
10645499360,Белагина Галина Андреевна,396,9а,4
9442410853,Кижняева Анна Леонидовна,178,7и,2
8430168504,Цывин Олег Яковлевич,446,7т,2
13754435168,Жидняева Ксения Эдуардовна,373,7х,4
12202923976,Липковский Анатолий Иванович,144,10а,2
9156980319,Меднова Наталья Богдановна,290,7и,5
11921759531,Житихин Вячеслав Романович,141,9а,5
11873902905,Шеврина Полина Максимовна,33,11а,5
11092921892,Алпеев Валентин Данилович,323,8а,2
10325249081,Золикова Клара Игоревна,364,10х,2
11910590931,Дориков Дмитрий Петрович,296,10г,5
11028073223,Корабышев Кирилл Михаилович,302,8и,5
16123658982,Ростовиков Константин Николаевич,336,10а,2
9944557075,Нехаев Дмитрий Фёдорович,129,7х,4
9023128490,Зызлова Мария Николаевна,430,8г,3
11095577662,Королупов Валерий Тимофеевич,397,10д,5
10347554976,Стенцов Евгений Яковлевич,315,8и,4
13200132297,Феклисов Константин Виталиевич,270,9т,None
8487901217,Синелев Руслан Тимофеевич,300,8и,2
9326396153,Опевалова Вера Евгеньевна,473,9д,5
13548636650,Назерова Вероника Василевна,206,7б,5
11662131903,Дименская Светлана Дмитриевна,387,9д,5
9356264585,Ковторева Раиса Василевна,482,9и,2
11239693885,Кулишнин Вячеслав Яковлевич,386,11х,5
8773353273,Лексин Кирилл Антонович,139,7в,5
11224364404,Лаковский Григорий Василиевич,240,7д,5
12089272935,Барамыкова Александра Алексеевна,106,10а,3
9887916514,Плясулина Оксана Андреевна,346,8х,2
10050738575,Петрикеев Станислав Яковлевич,14,7и,4
6365966478,Моторыгин Илья Георгиевич,238,10и,5
8355717994,Рыков Тарас Павлович,174,10и,5
10378965637,Иончикова Елизавета Егоровна,169,8д,5
9409101092,Смолькина Алиса Егоровна,441,7г,5
8446108377,Оболенин Герасим Павлович,472,7и,4
12819060344,Трощинский Георгий Борисович,67,9д,3
10378790735,Поддубская Лиза Игоревна,496,10а,4
7111446881,Телькова Валерия Олеговна,335,7х,4
14337802903,Чигварина Александра Алексеевна,428,10б,2
9795261491,Киреевский Артур Игоревич,119,7в,3
9009269054,Шумейкин Роман Павлович,420,8в,5
9537908832,Трушинов Максим Алексиевич,82,8и,4
9245367427,Голюков Денис Сергеевич,62,11б,4
9187296963,Хлиманкова Надежда Валерьевна,461,10б,3
12908552524,Кулаженков Алексей Олегович,367,10в,2
10774454730,Бутукин Владимир Адамович,221,7х,5
11829104521,Поддуев Леонид Олегович,149,9х,4
10429997579,Ревцев Василий Павлович,360,9х,5
9126438442,Старокожев Артём Юрьевич,46,8д,3
10405865946,Светошев Максим Михаилович,321,10х,2
12090010263,Старынина Кристина Федоровна,266,9д,3
11511436406,Востров Дмитрий Денисович,282,9г,3
14922627595,Бураханова Анастасия Леонидовна,16,8г,2
10118815023,Понизов Виктор Кириллович,214,11и,5
9018460482,Суздалев Валерий Алексеевич,66,11т,5
11112605277,Колендин Дмитрий Алексеевич,153,10в,4
13745171520,Сулькова Екатерина Андреевна,325,8и,4
9916564853,Аржевитова Надежда Федоровна,242,10в,2
12149416764,Крассов Валерий Олегович,201,8х,5
9579793263,Сонураева Инна Андреевна,450,9т,3
7393972666,Пашин Роман Вадимович,204,10д,2
11384572992,Фичкина Евгения Федоровна,29,11д,3
10457597157,Свилин Олег Виталиевич,123,8в,2
12067958981,Рогоцкий Андрей Адамович,142,9в,2
9252884423,Ахантьев Игорь Валериевич,80,10д,5
12319412658,Сочиникова Ксения Кирилловна,100,10д,2
11529057275,Остюков Артур Романович,329,11и,3
11339641423,Брюкина Оксана Викторовна,98,8в,5
9099554292,Кузовенков Игорь Юрьевич,322,9г,None
10185766917,Калухов Тарас Иванович,207,11а,3
10333736454,Батыров Пётр Виталиевич,227,7и,3
9442348988,Озрина Катерина Валерьевна,147,10а,4
11541805315,Декалова Полина Леонидовна,470,11д,5
14034828559,Лосицкий Владимир Кириллович,369,9т,5
11204103701,Магнусов Пётр Максимович,437,7и,5
13030843451,Лавренков Михаил Василиевич,188,9б,2
10963194041,Шушкалова Вероника Алексеевна,411,8т,5
13096308295,Бороданова Маргарита Дмитриевна,118,7г,5
9353514232,Циркина Виолетта Федоровна,231,9г,2
